ref_id,category,foreground,background,width,height,diameter,product_page,sub-category,image_path,page,auto_caption,enriched_caption,refined_caption
137TA9385,fork,BLACK,MIXED,47,18,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9385,combinations,output_images\137TA9385_page45_img3.png,45.0,the four different sizes of the white plastic case,"the four different sizes of the white plastic case. Category: fork. subcategory: combinations. Foreground: BLACK, Background: MIXED. Size: 47x18 mm.","Black on mixed background safety label with white plastic case, containing a circle with the words ""deadman switch"" and arrow pointing down, used on forklifts to indicate dead man's switch functionality."
139TA2865,fork,BLACK,ORANGE,80,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=139TA2865,combinations,output_images\139TA2865_page45_img1.png,45.0,a red and grey collar with a black and white collar,"a red and grey collar with a black and white collar. Category: fork. subcategory: combinations. Foreground: BLACK, Background: ORANGE. Size: 80x0 mm.","Red and grey collar with black and white stripes, attached to a safety warning sign (circle) on an orange background, used on forklifts to indicate tilt control: Purpose: used on forklifts to indicate tilt control."
138TA3048,fork,BLACK,SILVER,75,75,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3048,combinations,output_images\138TA3048_page45_img6.jpeg,45.0,a yellow sign with arrows pointing up to the left,"a yellow sign with arrows pointing up to the left. Category: fork. subcategory: combinations. Foreground: BLACK, Background: SILVER. Size: 75x75 mm.","Black arrow pointing up to the left on a silver background, yellow forklift safety label (Purpose: used on forklifts to indicate tilt control)."
126TA9827,fork,BLACK,SILVER,150,54,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA9827,combinations,output_images\126TA9827_page45_img5.png,45.0,a black and white photo of a cross,"a black and white photo of a cross. Category: fork. subcategory: combinations. Foreground: BLACK, Background: SILVER. Size: 150x54 mm.","Black and silver cross-shaped warning sign: Purpose: indicates fork movement direction or stall prevention, Foreground=BLACK, Background=SILVER."
126TA4476,fork,BLACK,TRANSPARENT,280,142,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA4476,combinations,output_images\126TA4476_page46_img13.png,46.0,a set of four black and white images,"a set of four black and white images. Category: fork. subcategory: combinations. Foreground: BLACK, Background: TRANSPARENT. Size: 280x142 mm.","Black on yellow safety warning label: LPG gas hazard, Purpose: placed near LPG systems to show gas hazard."
138TA2176,fork,BLACK,WHITE,75,75,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA2176,combinations,output_images\138TA2176_page46_img11.png,46.0,a piece of gold with a black and white pattern,"a piece of gold with a black and white pattern. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 75x75 mm.","Black and white safety warning label with a black pattern, Purpose: placed on forklifts to identify combination of features."
111TA2613,fork,BLACK,WHITE,100,146,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=111TA2613,combinations,output_images\111TA2613_page46_img12.png,46.0,the logo for the new project,"the logo for the new project. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x146 mm.","Black on yellow safety warning sign: LPG gas hazard, Purpose: placed near fueling stations."
126TA3664,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA3664,combinations,output_images\126TA3664_page46_img18.jpeg,46.0,a white electrical outlet with a white cover,"a white electrical outlet with a white cover. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on white safety warning sign: Deadman switch with red border, Purpose: used on forklifts to indicate deadman switch functionality."
126TA4352,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA4352,combinations,output_images\126TA4352_page46_img17.jpeg,46.0,the back of a white wall mounted power box,"the back of a white wall mounted power box. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","White on black circular safety label with LPG warning symbol, Purpose: placed near LPG systems to show gas hazard."
138TA1470,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1470,combinations,output_images\138TA1470_page46_img20.jpeg,46.0,the power strip is a white plastic box with a white cover and four outlets,"the power strip is a white plastic box with a white cover and four outlets. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.",Black on white safety label: Forklift Tilt Control
138TA3780,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3780,combinations,output_images\138TA3780_page46_img19.png,46.0,the control panel for the control system,"the control panel for the control system. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","""Black arrow-shaped dashboard warning label: deadman switch, with white text on a black background.""

Purpose: indicates presence of deadman switch control panel."
126TA3996,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA3996,combinations,output_images\126TA3996_page46_img15.png,46.0,a gray electrical outlet with four outlets,"a gray electrical outlet with four outlets. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on white safety warning label: Electrical outlet with four outlets, Purpose: used to identify electrical equipment in a hazardous area."
138TA1557,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1557,combinations,output_images\138TA1557_page46_img14.jpeg,46.0,the back of a white wall mounted panel with a white background,"the back of a white wall mounted panel with a white background. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.",Black on yellow safety warning label: Forklift Tilt Control.
138TA3124,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3124,combinations,output_images\138TA3124_page46_img16.png,46.0,a beige plastic enclosure with four holes,"a beige plastic enclosure with four holes. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Beige plastic enclosure with four holes, black text on white background, used as a forklift safety label with arrow indication of tilt control."
138TA1866,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1866,combinations,output_images\138TA1866_page46_img6.png,46.0,a white wall mounted switch with three switches,"a white wall mounted switch with three switches. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on white wall-mounted dashboard arrow switch combination, Purpose: used as a deadman switch for fork operation."
138TA3187,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3187,combinations,output_images\138TA3187_page46_img5.jpeg,46.0,a gray plastic tray with six sockets,"a gray plastic tray with six sockets. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on white safety warning sign: deadman switch indicator, Purpose: used on forklifts to indicate deadman switch control."
138TA1931,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1931,combinations,output_images\138TA1931_page46_img8.png,46.0,a yellow plastic enclosure with screws and screws,"a yellow plastic enclosure with screws and screws. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on yellow safety warning sign with a red deadman switch symbol: Purpose: indicates the need for manual intervention in emergency situations, used on forklifts."
138TA3129,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3129,combinations,output_images\138TA3129_page46_img7.png,46.0,a white box with a white cover and a black cover,"a white box with a white cover and a black cover. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","Black on yellow safety label: Forklift deadman switch, Purpose: used on forklifts to indicate tilt control."
139TA2866,fork,BLACK,WHITE,100,147,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=139TA2866,combinations,output_images\139TA2866_page46_img10.jpeg,46.0,the white power strip with a white power strip and a white power strip,"the white power strip with a white power strip and a white power strip. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x147 mm.","White fork lift sign, Foreground=BLACK, Background=WHITE, Purpose: used on forklifts to indicate tilt control."
138TA1472,fork,BLACK,WHITE,100,148,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1472,combinations,output_images\138TA1472_page46_img9.png,46.0,a white box with four switches and four switches,"a white box with four switches and four switches. Category: fork. subcategory: combinations. Foreground: BLACK, Background: WHITE. Size: 100x148 mm.","White background with four switches, a deadman switch, is a white box on black safety label forklift combination sign. Purpose: used as a control panel indicator."
126TA4276,fork,GREY,BLACK,0,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=126TA4276,combinations,output_images\126TA4276_page46_img2.png,46.0,a gray electrical outlet with four outlets,"a gray electrical outlet with four outlets. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 0x0 mm.","Grey safety warning label with black background, grey text and four outlets, purpose: identifies electrical outlet location."
137TA9770,fork,GREY,BLACK,0,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9770,combinations,output_images\137TA9770_page46_img1.png,46.0,a black and white logo with the letter l,"a black and white logo with the letter l. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 0x0 mm.","Black and white logo with the letter ""L"" ( Grey Foreground, Black Background), Safety Label.

Purpose: used on forklifts to identify load lifting capacity."
137TA9775,fork,GREY,BLACK,21,21,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9775,combinations,output_images\137TA9775_page46_img4.png,46.0,a black and white logo with a white background,"a black and white logo with a white background. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 21x21 mm.","Black on yellow safety warning label with a black logo on a white background, GREY foreground, BLACK background. Purpose: used on forklifts to indicate tilt control."
138TA2631,fork,GREY,BLACK,0,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA2631,combinations,output_images\138TA2631_page46_img3.png,46.0,thermo®®™™™™™™™™™™™™™™™™™™™™™™™™™,"thermo®®™™™™™™™™™™™™™™™™™™™™™™™™™. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 0x0 mm.","Thermo temperature warning sign, GREY foreground, BLACK background."
137TA9965,fork,GREY,BLACK,0,0,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9965,combinations,output_images\137TA9965_page47_img20.png,47.0,a black triangle shaped guitar picker,"a black triangle shaped guitar picker. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 0x0 mm.","""Black triangle-shaped dashboard arrow sign with GREY foreground and BLACK background, Purpose: used on forklifts to indicate tilt control."""
137TA9376,fork,GREY,BLACK,44,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9376,combinations,output_images\137TA9376_page47_img18.png,47.0,a sign that says no parking,"a sign that says no parking. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 44x31 mm.","""Grey on black safety label: 'No Parking'""."
137TA9380,fork,GREY,BLACK,0,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9380,combinations,output_images\137TA9380_page47_img19.png,47.0,the logo for the new yorks,"the logo for the new yorks. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 0x31 mm.",Grey on black dashboard arrow indicator: deadman switch. Purpose: operated by foot pedal.
138TA1311,fork,GREY,BLACK,45,31,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA1311,combinations,output_images\138TA1311_page47_img9.jpeg,47.0,the black guitar pick with a white and black design,"the black guitar pick with a white and black design. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 45x31 mm.","""Black on yellow safety warning label with white and black design: LPG gas hazard, used on forklifts."""
111TA2622,fork,GREY,BLACK,60,60,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=111TA2622,combinations,output_images\111TA2622_page47_img11.png,47.0,a black and white photo of a number of different lights,"a black and white photo of a number of different lights. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 60x60 mm.","Black circle background, grey foreground safety label with a deadman switch symbol and the text ""Dead Man's Switch"", Purpose: used on forklifts to indicate emergency shutdown control."
111TA1968,fork,GREY,BLACK,79,79,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=111TA1968,combinations,output_images\111TA1968_page47_img10.png,47.0,a white tile with black and white designs,"a white tile with black and white designs. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 79x79 mm.","Grey on black dashboard arrow: indicates tiller height control, Purpose: used on forklifts to indicate tiller height control."
138TA2397,fork,GREY,BLACK,87,87,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA2397,combinations,output_images\138TA2397_page47_img4.png,47.0,a black square with white arrows on it,"a black square with white arrows on it. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 87x87 mm.",Black on grey forklift dashboard arrow sign: indicates tilting position.
137TA9872,fork,GREY,BLACK,88,88,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=137TA9872,combinations,output_images\137TA9872_page47_img2.png,47.0,the black and white logo on the left side of the car,"the black and white logo on the left side of the car. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 88x88 mm.","Grey text circle sign with black background, used on forklifts to indicate tilt control: grey text circle."
138TA3391,fork,GREY,BLACK,135,65,0,http://mytotalsource.tvh.com/Ecommerce/index.html?tvhref=138TA3391,combinations,output_images\138TA3391_page47_img13.png,47.0,the logo for the new yorks,"the logo for the new yorks. Category: fork. subcategory: combinations. Foreground: GREY, Background: BLACK. Size: 135x65 mm.","Grey on black fork combination sign: NYC logo (Circular, Purpose: identification of forklift combination)."
